Datetime,Water Level (m)
2023-12-15 06:00:00,0.81945735
2023-12-15 07:00:00,1.06609
2023-12-15 08:00:00,0.81256765
2023-12-15 09:00:00,0.3305101
2023-12-15 10:00:00,-0.30559066
2023-12-15 11:00:00,-1.0109757
2023-12-15 12:00:00,-1.6997536
2023-12-15 13:00:00,-2.1288257
2023-12-15 14:00:00,-1.9439516
2023-12-15 15:00:00,-1.1092184
2023-12-15 16:00:00,-0.12632643
2023-12-15 17:00:00,0.7622361
2023-12-15 18:00:00,1.4618835
2023-12-15 19:00:00,1.8143393
2023-12-15 20:00:00,1.5901896
2023-12-15 21:00:00,1.0991043
2023-12-15 22:00:00,0.3764894
2023-12-15 23:00:00,-0.4494534
2023-12-16 00:00:00,-1.2876151
2023-12-16 01:00:00,-1.9534851
2023-12-16 02:00:00,-2.2613683
2023-12-16 03:00:00,-1.852379
2023-12-16 04:00:00,-1.0243005
2023-12-16 05:00:00,-0.16761714
2023-12-16 06:00:00,0.51563674
2023-12-16 07:00:00,1.0174019
2023-12-16 08:00:00,1.1478683
2023-12-16 09:00:00,0.784103
2023-12-16 10:00:00,0.2607689
2023-12-16 11:00:00,-0.41539755
2023-12-16 12:00:00,-1.1052382
2023-12-16 13:00:00,-1.7241411
2023-12-16 14:00:00,-2.016956
2023-12-16 15:00:00,-1.6847785
2023-12-16 16:00:00,-0.889205
2023-12-16 17:00:00,0.055832703
2023-12-16 18:00:00,0.8843077
2023-12-16 19:00:00,1.5227689
2023-12-16 20:00:00,1.737861
2023-12-16 21:00:00,1.4404396
2023-12-16 22:00:00,0.8993208
2023-12-16 23:00:00,0.1576182
2023-12-17 00:00:00,-0.6389437
2023-12-17 01:00:00,-1.4125454
2023-12-17 02:00:00,-1.9813124
2023-12-17 03:00:00,-2.1549618
2023-12-17 04:00:00,-1.6404641
2023-12-17 05:00:00,-0.8597355
2023-12-17 06:00:00,-0.06345964
2023-12-17 07:00:00,0.57164276
2023-12-17 08:00:00,1.0425628
2023-12-17 09:00:00,1.1021364
2023-12-17 10:00:00,0.7493172
2023-12-17 11:00:00,0.23994648
2023-12-17 12:00:00,-0.4105909
2023-12-17 13:00:00,-1.0636175
2023-12-17 14:00:00,-1.6236442
2023-12-17 15:00:00,-1.8373982
2023-12-17 16:00:00,-1.4728272
2023-12-17 17:00:00,-0.6932819
2023-12-17 18:00:00,0.16871797
2023-12-17 19:00:00,0.8882094
2023-12-17 20:00:00,1.4314543
2023-12-17 21:00:00,1.5683521
2023-12-17 22:00:00,1.241055
2023-12-17 23:00:00,0.70386934
2023-12-18 00:00:00,-0.0055354396
2023-12-18 01:00:00,-0.75801414
2023-12-18 02:00:00,-1.4659172
2023-12-18 03:00:00,-1.946507
2023-12-18 04:00:00,-2.025915
2023-12-18 05:00:00,-1.5183821
2023-12-18 06:00:00,-0.7814641
2023-12-18 07:00:00,-0.032408487
2023-12-18 08:00:00,0.5783432
2023-12-18 09:00:00,1.0308754
2023-12-18 10:00:00,1.054474
2023-12-18 11:00:00,0.72429144
2023-12-18 12:00:00,0.23859707
2023-12-18 13:00:00,-0.36063045
2023-12-18 14:00:00,-0.9711622
2023-12-18 15:00:00,-1.5039641
2023-12-18 16:00:00,-1.6900951
2023-12-18 17:00:00,-1.3330947
2023-12-18 18:00:00,-0.64121914
2023-12-18 19:00:00,0.11110286
2023-12-18 20:00:00,0.7376302
2023-12-18 21:00:00,1.2118683
2023-12-18 22:00:00,1.3136076
2023-12-18 23:00:00,0.99781996
2023-12-19 00:00:00,0.51032555
2023-12-19 01:00:00,-0.12213978
2023-12-19 02:00:00,-0.8065498
2023-12-19 03:00:00,-1.461479
2023-12-19 04:00:00,-1.9021839
2023-12-19 05:00:00,-1.9562712
2023-12-19 06:00:00,-1.4565878
2023-12-19 07:00:00,-0.77451026
2023-12-19 08:00:00,-0.06662607
2023-12-19 09:00:00,0.5368473
2023-12-19 10:00:00,0.98521864
2023-12-19 11:00:00,1.0203174
2023-12-19 12:00:00,0.73744637
2023-12-19 13:00:00,0.32739624
2023-12-19 14:00:00,-0.2274481
2023-12-19 15:00:00,-0.8187702
2023-12-19 16:00:00,-1.3416731
2023-12-19 17:00:00,-1.5364258
2023-12-19 18:00:00,-1.2607752
2023-12-19 19:00:00,-0.72464275
2023-12-19 20:00:00,-0.10606621
2023-12-19 21:00:00,0.4784274
2023-12-19 22:00:00,0.9343853
2023-12-19 23:00:00,1.0696602
2023-12-20 00:00:00,0.82801425
2023-12-20 01:00:00,0.42991087
2023-12-20 02:00:00,-0.10367792
2023-12-20 03:00:00,-0.72657233
2023-12-20 04:00:00,-1.3470559
2023-12-20 05:00:00,-1.7659012
2023-12-20 06:00:00,-1.8108934
2023-12-20 07:00:00,-1.3920902
2023-12-20 08:00:00,-0.7682439
2023-12-20 09:00:00,-0.06477116
2023-12-20 10:00:00,0.5449776
2023-12-20 11:00:00,0.9933926
2023-12-20 12:00:00,1.0728989
2023-12-20 13:00:00,0.8463157
2023-12-20 14:00:00,0.47547448
2023-12-20 15:00:00,-0.048445057
2023-12-20 16:00:00,-0.61479753
2023-12-20 17:00:00,-1.1282766
2023-12-20 18:00:00,-1.3733981
2023-12-20 19:00:00,-1.2457056
2023-12-20 20:00:00,-0.834934
2023-12-20 21:00:00,-0.26607066
2023-12-20 22:00:00,0.3205587
2023-12-20 23:00:00,0.7567197
2023-12-21 00:00:00,0.9401852
2023-12-21 01:00:00,0.79566884
2023-12-21 02:00:00,0.46971068
